instance;exp_time;best_objective;solution;training_objectives
150;0.960538387298584;12.793318383549886;[[49, 10, 88, 19, 6, 32, 100, 12, 52, 93], [18, 38, 43, 1, 4, 77, 9, 21, 90, 33, 72, 94], [70, 85, 73, 17, 36, 14, 11, 87, 22, 41, 29, 82], [67, 51, 28, 34, 61, 2, 30, 8, 40, 84, 96, 89, 7], [63, 60, 45, 46, 37, 75, 98, 99, 97], [47, 86, 15, 74, 66, 91, 55, 81, 83], [5, 27, 57, 50, 42, 68, 48, 24], [35, 58, 80, 25, 44, 64, 13, 26, 78], [23, 59, 71, 16, 3, 92, 76, 79], [54, 95, 56, 31, 53, 69, 62, 65, 20, 39]];[15.761449961034957, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 14.930424829900103, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.933385301768814, 13.57431782225413, 13.311379906568646, 13.311379906568646, 13.081761842744644, 13.081761842744644, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 13.043404293040284, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.963026682707492, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886, 12.793318383549886]
151;1.223491668701172;13.90944411849591;[[60, 32, 27, 66, 53, 91, 44, 5, 46, 94, 82, 54], [73, 69, 85, 88, 37, 96, 31], [8, 21, 100, 87, 52, 63, 75, 65, 29], [13, 17, 55, 24, 83, 97, 56, 84, 41, 98, 30], [77, 64, 90, 22, 1, 19, 81, 95, 39], [4, 26, 9, 18, 2, 15, 48], [67, 35, 16, 38, 12, 80, 74, 20], [71, 43, 3, 51, 42, 57, 93, 59, 45], [72, 70, 78, 28, 23, 34, 10, 47], [49, 79, 36, 14, 58, 68, 11, 89, 25, 50, 6, 33], [76, 92, 86, 40, 99, 61, 62, 7]];[20.783997177427903, 20.783997177427903, 19.891663580766995, 19.755120436083043, 19.002159069386742, 18.32321717434652, 18.32321717434652, 17.838144473428308, 16.99153623480911, 16.99153623480911, 16.606334956029514, 15.76360853845771, 15.76360853845771, 15.76360853845771, 15.76360853845771, 15.76360853845771, 15.61328753441703, 15.398905318078505, 15.34212223530637, 15.34212223530637, 15.34212223530637, 15.34212223530637, 15.34212223530637, 15.217856211196915, 15.217856211196915, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.104033558868002, 15.102410555147662, 15.102410555147662, 15.102410555147662, 15.102410555147662, 15.102410555147662, 14.776980620458133, 14.776980620458133, 14.776980620458133, 14.776980620458133, 14.776980620458133, 14.701397498661624, 14.701397498661624, 14.701397498661624, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.553889194965436, 14.290033338856503, 14.290033338856503, 14.21391073523473, 14.21391073523473, 14.21391073523473, 14.21391073523473, 14.081968255879753, 14.081968255879753, 14.081968255879753, 14.044997360077561, 14.044997360077561, 13.932323751100714, 13.932323751100714, 13.932323751100714, 13.90944411849591, 13.90944411849591, 13.90944411849591, 13.90944411849591]
152;0.8634107112884521;15.132216886643786;[[37, 99, 93, 87, 26, 85, 71, 35, 8, 3], [100, 14, 69, 88, 67, 12, 97, 94, 17, 5, 2, 82, 58], [10, 79, 15, 19, 92, 60, 1, 29, 36], [96, 9, 86, 39, 80, 53, 83, 46, 81, 32], [89, 84, 78, 91, 72, 45, 27, 95, 62, 68, 25], [30, 28, 23, 65, 61, 55, 98], [43, 59, 33, 66, 22, 76, 50, 7, 24], [20, 6, 52, 75, 16, 90, 34, 13, 42, 41], [54, 70, 49, 18, 21, 11, 63], [51, 74, 31, 57, 56, 77, 64], [73, 47, 40, 44, 48, 38, 4]];[16.572828490897948, 16.572828490897948, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 16.0627029914681, 15.548782044324268, 15.548782044324268, 15.548782044324268, 15.548782044324268, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.408799052398626, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.396412705589999, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.28568180333762, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786, 15.132216886643786]
153;0.656160831451416;11.99495229936362;[[46, 66, 36, 95, 39, 23, 67, 60, 7, 63, 16], [21, 73, 79, 85, 27, 32, 65, 48, 15, 78, 59, 51], [50, 30, 52, 47, 41, 99], [68, 100, 88, 87, 80, 5, 34, 86, 53, 92, 38], [75, 70, 64, 40, 33, 81, 43, 55], [91, 29, 93, 28, 42, 69, 44, 58, 31, 96], [12, 76, 82, 45, 13, 90, 74, 77], [20, 6, 10, 84, 72, 25, 18, 9, 3, 98], [37, 11, 19, 49, 2, 56, 57, 94], [97, 1, 26, 8, 71, 17, 4, 89], [83, 35, 61, 62, 22, 54, 14, 24]];[14.469196246925838, 14.469196246925838, 14.469196246925838, 14.469196246925838, 14.469196246925838, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.78327340749759, 13.665715477436038, 13.665715477436038, 13.665715477436038, 13.665715477436038, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.302638895003785, 13.182019391366257, 13.182019391366257, 13.182019391366257, 13.182019391366257, 13.182019391366257, 13.092641748294046, 13.092641748294046, 12.875050880587509, 12.742831599051534, 12.742831599051534, 12.742831599051534, 12.742831599051534, 12.742831599051534, 12.742831599051534, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.451619692476331, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.178957104828843, 12.167271872364719, 11.99495229936362, 11.99495229936362, 11.99495229936362, 11.99495229936362, 11.99495229936362]
154;1.2857401371002195;10.728467483201676;[[81, 23, 59, 4, 37, 95, 89, 26, 91, 83], [50, 65, 58, 35, 40, 90, 13, 88], [39, 21, 34, 84, 10, 93, 68, 57, 11, 17, 94], [53, 15, 52, 30, 36, 70, 71, 16, 80, 51], [55, 97, 74, 67, 64, 42, 82, 9], [43, 73, 3, 22, 69, 77, 33, 92, 25, 56, 1], [7, 2, 61, 85, 38, 31, 19, 45, 48, 12, 100, 44], [63, 46, 62, 86, 79, 66, 54, 5], [87, 72, 98, 32, 78, 47, 49, 99, 20], [29, 8, 18, 60, 96, 6, 24, 28, 41, 75, 76, 27], [14]];[13.268868099003303, 13.268868099003303, 13.268868099003303, 12.83998251565729, 12.83998251565729, 12.83998251565729, 12.83998251565729, 12.83998251565729, 12.83998251565729, 12.83998251565729, 12.721296041537695, 12.721296041537695, 12.721296041537695, 12.721296041537695, 12.721296041537695, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.614548234369739, 12.428415366484284, 12.428415366484284, 12.428415366484284, 12.428415366484284, 12.428415366484284, 12.200733301473976, 11.555876646318074, 11.555876646318074, 11.555876646318074, 11.555876646318074, 11.555876646318074, 11.555876646318074, 11.446808180880511, 11.446808180880511, 11.446808180880511, 11.402601492486374, 11.402601492486374, 11.402601492486374, 11.40071466068482, 11.40071466068482, 11.40071466068482, 11.40071466068482, 11.40071466068482, 11.40071466068482, 11.40071466068482, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.964471993001311, 10.773001322229069, 10.773001322229069, 10.773001322229069, 10.773001322229069, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676, 10.728467483201676]
155;1.1457078456878662;9.62821436768989;[[87, 6, 79, 92, 34, 45, 27, 30, 60, 88, 9, 28, 76], [22], [10, 44, 99, 43, 74, 58, 68, 14], [33, 50, 23, 96, 72, 29, 64, 51, 67], [17, 18, 8, 21, 3, 40, 69, 62, 97, 94, 100], [65, 83, 73, 11, 2, 85, 80, 38, 15, 42, 55, 89, 1], [75, 41, 5, 81, 37, 7, 86, 57, 12], [70, 52, 84, 77, 39, 63, 82, 56, 78, 48], [54, 35, 61, 95, 25, 71, 53, 24, 36], [46, 13, 20, 49, 32, 98, 59, 90, 26, 4], [16, 31, 66, 93, 91, 47, 19]];[13.20381528611922, 13.20381528611922, 13.20381528611922, 13.20381528611922, 13.20381528611922, 13.20381528611922, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 12.85699331382268, 11.820561625763764, 11.820561625763764, 11.820561625763764, 11.820561625763764, 11.820561625763764, 11.820561625763764, 11.684758458363275, 11.684758458363275, 11.684758458363275, 11.684758458363275, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.43426183330289, 11.176272273851962, 11.176272273851962, 11.176272273851962, 11.176272273851962, 11.176272273851962, 10.883032604034415, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.865773988425039, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.4926348566348, 10.487306371334002, 10.487306371334002, 10.487306371334002, 10.487306371334002, 10.487306371334002, 10.487306371334002, 10.337622353755904, 10.137828687740779, 10.137828687740779, 10.137828687740779, 10.137828687740779, 10.137828687740779, 10.137828687740779, 10.137828687740779, 10.137828687740779, 10.137828687740779, 9.803023929816943, 9.803023929816943, 9.803023929816943, 9.803023929816943, 9.803023929816943, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989, 9.62821436768989]
156;1.1823780536651611;11.182585879482993;[[30, 72, 15, 8, 1, 13, 65], [90, 66, 63, 71, 23, 10, 41, 39, 84], [4, 52, 26, 48, 17, 36, 74, 33, 55, 37, 21], [76, 82, 9, 94, 5, 25, 22, 60, 87], [67, 61, 12, 31, 93, 62, 70, 16, 20, 83], [18, 46, 32, 6, 29, 81, 77, 49, 75, 57, 42, 99], [98, 73, 51, 88, 11, 43, 59, 58, 7], [80, 54, 86, 79, 19, 100, 34, 85, 92, 38, 3], [97, 2, 56, 53, 35, 14, 27], [89, 28, 45, 47, 95, 68], [40, 69, 91, 44, 24, 78, 50, 64, 96]];[13.637778026545142, 13.566375564374374, 13.566375564374374, 13.566375564374374, 13.566375564374374, 13.566375564374374, 13.566375564374374, 13.566375564374374, 13.566375564374374, 12.97509309928099, 12.63091829491861, 12.63091829491861, 12.48211394984963, 12.48211394984963, 12.48211394984963, 12.220471316960797, 12.220471316960797, 11.920051478120648, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.404731165204954, 11.399233436783536, 11.399233436783536, 11.399233436783536, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.346385837335625, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.21655499996611, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993, 11.182585879482993]
157;1.0316760540008545;11.103001773802472;[[60, 52, 88, 73, 97, 91, 55, 45, 72, 30, 82, 34], [44, 90, 100, 20, 40, 62, 99, 4, 67, 84], [33, 95, 53, 98, 49, 94, 80], [57, 63, 78, 59, 23, 8, 96, 69, 25], [54, 41, 64, 6, 76, 14, 26, 42, 65, 5, 29], [38, 21, 39, 22, 18, 74, 89, 9, 3, 51], [28, 61, 37, 83, 7, 16, 68, 32, 70, 12], [36, 19, 47, 75, 48, 56], [77, 17, 86, 35, 50, 27, 92, 24, 10], [2, 71, 85, 31, 46, 87, 15], [43, 1, 81, 58, 66, 79, 93, 13, 11]];[16.36625477701825, 15.402675020951481, 15.402675020951481, 15.402675020951481, 13.960561656620769, 13.960561656620769, 13.960561656620769, 13.661811958342962, 13.661811958342962, 13.661811958342962, 13.563450912186804, 13.541596184172436, 13.541596184172436, 12.94531878063246, 12.94531878063246, 12.94531878063246, 12.425388106849281, 12.425388106849281, 12.425388106849281, 12.425388106849281, 12.425388106849281, 12.425388106849281, 12.425388106849281, 12.425388106849281, 12.24961890444186, 12.233173506458531, 12.233173506458531, 11.880394081508772, 11.880394081508772, 11.880394081508772, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.877591386862521, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.273206590338303, 11.248459382867086, 11.248459382867086, 11.248459382867086, 11.248459382867086, 11.248459382867086, 11.186367695578745, 11.186367695578745, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472, 11.103001773802472]
158;1.1721415519714355;10.70779965198304;[[45, 99, 36, 55, 16, 73, 72, 18, 81, 74, 80, 64], [4, 37, 100, 34, 85, 41, 63, 98, 19, 25, 30], [67, 78, 31, 68, 6, 97, 44, 38, 20, 24], [77, 61, 23, 70, 13, 50, 76], [9, 96, 15, 17, 58, 93, 51, 95, 5, 40, 7, 79, 47, 88], [21, 29, 75, 83, 49, 14, 90, 69, 12, 10], [60, 46, 42, 48, 86, 53, 94, 71], [22, 92, 26, 65, 1, 43, 11], [57, 54, 91, 2, 62, 39, 66, 3, 27], [82, 84, 59, 89, 87, 33, 52, 28], [32, 35, 56, 8]];[13.127809308440032, 13.127809308440032, 13.127809308440032, 13.127809308440032, 13.127809308440032, 13.127809308440032, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.702349692610685, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.322076464836877, 12.034640589341814, 11.741707063046249, 11.741707063046249, 11.741707063046249, 11.741707063046249, 11.741707063046249, 11.54946447028184, 11.54946447028184, 11.408097300573658, 11.408097300573658, 11.408097300573658, 11.408097300573658, 11.397407578239456, 11.397407578239456, 11.397407578239456, 11.397407578239456, 11.331340974389551, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.244529237524848, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 11.11035294308611, 10.995877311424984, 10.995877311424984, 10.995877311424984, 10.995877311424984, 10.985141036864253, 10.985141036864253, 10.985141036864253, 10.985141036864253, 10.984572685346826, 10.923140566389787, 10.923140566389787, 10.851177713186022, 10.851177713186022, 10.851177713186022, 10.851177713186022, 10.787336573774148, 10.787336573774148, 10.787336573774148, 10.787336573774148, 10.707799651983041, 10.707799651983041, 10.707799651983041, 10.707799651983041, 10.707799651983041, 10.707799651983041, 10.707799651983041, 10.707799651983041]
159;1.084327220916748;11.59516187472052;[[17, 51, 85, 22, 41, 97, 15, 70], [64, 29, 77, 90, 61, 11, 31, 68], [21, 18, 28, 2, 42, 87, 8, 96, 47, 6], [52, 94, 62, 65, 80, 12, 91, 43, 82, 45, 39, 50, 44, 66, 76, 4, 60], [86, 46, 93, 79, 55, 58, 34, 48, 88, 25], [89, 59, 78, 69, 23, 83, 19, 84, 14, 75, 100], [40, 13, 37, 53, 38, 35, 57, 30, 9, 98, 5, 63, 73], [95, 33, 49, 3, 10, 71], [56, 7, 72, 99, 67, 16, 20, 24, 54], [26, 36, 74, 27, 32, 81, 1, 92]];[15.869069347546954, 15.054958610500185, 14.843330138950357, 14.843330138950357, 14.30153934524272, 13.264404578848877, 13.179390409874078, 13.179390409874078, 13.179390409874078, 13.179390409874078, 13.179390409874078, 13.103815161186846, 13.103815161186846, 13.103815161186846, 13.103815161186846, 12.701013464101523, 12.701013464101523, 12.701013464101523, 12.701013464101523, 12.701013464101523, 12.701013464101523, 12.668734171692572, 12.636022802007163, 12.636022802007163, 12.636022802007163, 12.573392851979806, 12.573392851979806, 12.573392851979806, 12.573392851979806, 12.573392851979806, 12.573392851979806, 12.573392851979806, 12.573392851979806, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.494232893556177, 12.459563823054722, 12.409959563688389, 12.409959563688389, 12.409959563688389, 12.409959563688389, 12.409959563688389, 12.409959563688389, 12.409959563688389, 12.409959563688389, 12.38721005537656, 12.273752625464715, 12.273752625464715, 12.071707470011157, 12.071707470011157, 11.916264907168564, 11.916264907168564, 11.916264907168564, 11.916264907168564, 11.916264907168564, 11.916264907168564, 11.916264907168564, 11.914040320670471, 11.914040320670471, 11.914040320670471, 11.914040320670471, 11.914040320670471, 11.896949991798136, 11.896949991798136, 11.896949991798136, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.617199372735373, 11.595161874720521, 11.595161874720521]
